number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,mean_test_score,rank_test_score
150,0.8073002157936434,2025-03-11 13:01:21.744597,2025-03-11 13:01:39.533100,0 days 00:00:17.788503,0.7180044479294388,0.01016413331949482,11,5,2048,0.01481842973141348,5.08655935540322,0.8385445541100351,COMPLETE,0.8073002157936434,100
739,0.8072999547707573,2025-03-11 15:44:33.649212,2025-03-11 15:45:00.041338,0 days 00:00:26.392126,0.7114376307720089,0.011250669082058254,14,5,1943,0.010503753649942896,7.642381697710245,0.8756544478755042,COMPLETE,0.8072999547707573,101
786,0.8072996937478714,2025-03-11 15:58:47.795528,2025-03-11 15:59:05.010247,0 days 00:00:17.214719,0.772523802071321,0.011429786088219497,11,5,2081,0.0058273801261387774,8.421388227155006,0.8732171325009954,COMPLETE,0.8072996937478714,102
218,0.8072982480826564,2025-03-11 13:18:13.809719,2025-03-11 13:18:28.419161,0 days 00:00:14.609442,0.7247303872820617,0.012302183418845918,10,5,2086,0.009941176282191707,2.3343738446284372,0.8506077318282077,COMPLETE,0.8072982480826564,103
301,0.8072947543917202,2025-03-11 13:41:47.991001,2025-03-11 13:42:04.439366,0 days 00:00:16.448365,0.7772097299620477,0.010074300374164668,11,5,1857,0.005934415014643676,7.0901959687504394,0.8725581869591986,COMPLETE,0.8072947543917202,104
462,0.8072927063659988,2025-03-11 14:25:22.172879,2025-03-11 14:25:42.945711,0 days 00:00:20.772832,0.8120900843257908,0.010617535620169953,11,4,2085,0.983815343070478,5.19946432183571,0.8991026647770859,COMPLETE,0.8072927063659988,105
859,0.8072900158224041,2025-03-11 16:20:28.342356,2025-03-11 16:20:47.046658,0 days 00:00:18.704302,0.8520839439886703,0.010010590261375163,12,5,1717,0.06605824890076167,4.975253594958082,0.8034765877074012,COMPLETE,0.8072900158224041,106
827,0.8072854579612403,2025-03-11 16:10:49.480798,2025-03-11 16:11:12.641130,0 days 00:00:23.160332,0.8356904151058052,0.01183332367618487,14,7,2004,0.0046107232301043685,5.286506512862215,0.9261230903625906,COMPLETE,0.8072854579612403,107
532,0.8072799764806333,2025-03-11 14:45:23.173025,2025-03-11 14:45:44.906258,0 days 00:00:21.733233,0.822932342581366,0.01072096185601777,12,4,1885,0.009808122298898376,8.043467349534842,0.8749595320767714,COMPLETE,0.8072799764806333,108
509,0.8072703587912168,2025-03-11 14:39:00.846532,2025-03-11 14:39:12.093433,0 days 00:00:11.246901,0.8257805501873594,0.011148177346689497,11,7,1374,0.08177372643055844,6.6438083490815565,0.8241302245831382,COMPLETE,0.8072703587912168,109
